formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,487.0,MPa,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
CoFeNiV,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,1000.0,$^\circ$C,C,295.0,MPa,OTHER
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$,25.0,$^\circ$C,,,,
Al$_{0.186}$Cr$_{0.149}$FeMn$_{0.861}$Ni$_{0.28}$,25.0,$^\circ$C,T,954.0,MPa,ANNEAL
AlCo$_{0.581}$Cr$_{0.512}$Fe$_{0.116}$Ni$_{0.116}$,,,,,,
AlCoCrCuFeNi,700.0,$^\circ$C,T,63.0,MPa,WROUGHT
AlCr$_{0.5}$NbTiV,800.0,$^\circ$C,C,640.0,MPa,ANNEAL
Al$_{0.186}$Cr$_{0.149}$FeMn$_{0.861}$Ni$_{0.28}$,25.0,$^\circ$C,T,159.0,MPa,CAST
Al$_{0.5}$Mo$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,2350.0,MPa,OTHER
NbTiZr,1200.0,$^\circ$C,C,61.0,MPa,OTHER
AlNbTaTi,100.0,$^\circ$C,C,740.0,MPa,CAST
Al$_{0.3}$HfNbTaTiZr,25.0,$^\circ$C,C,1188.0,MPa,CAST
HfMoNbTaZr,25.0,$^\circ$C,C,1524.0,MPa,CAST
AlCoCrFeNiSi,25.0,$^\circ$C,C,2411.0,MPa,CAST
AlCo$_{0.404}$Cr$_{0.404}$Cu$_{0.106}$Fe$_{0.106}$Ni$_{0.106}$,,,,,,
C$_{0.429}$CoCrFeNiW$_{0.429}$,,,,,,POWDER
CrFeMnNi,,,,,,
AlCo$_{0.298}$Cr$_{0.426}$Cu$_{0.106}$Fe$_{0.191}$Ni$_{0.106}$,,,,,,
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,711.0,MPa,WROUGHT
AlCu$_{0.077}$Fe$_{0.077}$Mg$_{0.077}$Si$_{0.231}$Zn$_{0.077}$,25.0,$^\circ$C,C,422.0,MPa,CAST
HfMoTaTiZr,1200.0,$^\circ$C,C,404.0,MPa,CAST
Co$_{0.564}$Nb$_{0.795}$Ta$_{0.103}$TiW$_{0.103}$,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,25.0,$^\circ$C,C,905.0,MPa,CAST
CrCuFeMnNi,25.0,$^\circ$C,,,,CAST
CoMnNi,25.0,$^\circ$C,T,231.0,MPa,WROUGHT
Al$_{0.286}$Cr$_{0.343}$FeMn$_{0.657}$Ni$_{0.571}$,25.0,$^\circ$C,T,1400.0,MPa,WROUGHT
HfNbTaTiZr,340.0,$^\circ$C,,,,WROUGHT
MoNbTaTi,1000.0,$^\circ$C,C,539.0,MPa,ANNEAL
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,187.0,MPa,WROUGHT
Hf$_{0.25}$Nb$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,600.0,$^\circ$C,C,718.0,MPa,CAST
AlCrCuFeNi,600.0,$^\circ$C,C,410.0,MPa,POWDER
MoNbSi$_{0.5}$TaW,25.0,$^\circ$C,C,1883.0,MPa,POWDER
C$_{0.5}$CoCrFeMnNi,25.0,$^\circ$C,T,520.9,MPa,WROUGHT
AlCrFeNi,25.0,$^\circ$C,C,1271.0,MPa,
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,T,650.0,MPa,WROUGHT
Al$_{0.5}$CoCrCuFeNiTi$_{0.8}$,25.0,$^\circ$C,,,,CAST
MoNbTaTi,800.0,$^\circ$C,C,564.0,MPa,ANNEAL
AlCrFeMo$_{0.5}$NiTi$_{0.25}$,25.0,$^\circ$C,C,2161.7,MPa,CAST
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,213.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,800.0,MPa,WROUGHT
HfNbTaTiZr,1000.0,$^\circ$C,C,295.0,MPa,OTHER
AlCrNbTiV,600.0,$^\circ$C,C,1015.0,MPa,ANNEAL
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
Al$_{0.5}$CoCrFeNiTi$_{0.5}$,25.0,$^\circ$C,C,1100.0,MPa,
MoNbTaW,1200.0,$^\circ$C,C,506.0,MPa,OTHER
Al$_{0.8}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.75}$MoNbTiV,25.0,$^\circ$C,C,1260.0,MPa,CAST
CoCrFeMnNiV$_{0.5}$,25.0,$^\circ$C,C,,,CAST
MoNbTiVZr,1000.0,$^\circ$C,C,467.0,MPa,OTHER
AlCoCrFeNi,,,,,,
AlCoCrCuFeNi,25.0,$^\circ$C,T,790.0,MPa,CAST
CoCrFeNi,,,,,,CAST
C$_{0.053}$CoCrFeMnNi,800.0,$^\circ$C,C,,,ANNEAL
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,471.0,MPa,WROUGHT
NbTa$_{0.3}$TiZr,1200.0,$^\circ$C,C,102.0,MPa,OTHER
CoCrNi,25.0,$^\circ$C,T,346.0,MPa,WROUGHT
AlCo$_{0.457}$Cr$_{0.391}$Cu$_{0.109}$Fe$_{0.109}$Ni$_{0.109}$,,,,,,
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-43.0,$^\circ$C,C,1020.0,MPa,WROUGHT
HfNbTaTiZr,25.0,$^\circ$C,T,1520.0,MPa,OTHER
Al$_{0.333}$Nb$_{0.667}$Ta$_{0.533}$TiV$_{0.133}$Zr$_{0.667}$,800.0,$^\circ$C,C,796.0,MPa,OTHER
Al$_{0.511}$Co$_{0.511}$Cr$_{0.511}$Fe$_{0.511}$Ni,-70.0,$^\circ$C,T,580.0,MPa,
HfNbTaTiZr,25.0,$^\circ$C,T,1107.0,MPa,OTHER
AlNbTiVZr$_{0.25}$,600.0,$^\circ$C,C,1065.0,MPa,ANNEAL
Al$_{0.5}$CoCrCuFeNiV,25.0,$^\circ$C,,,,CAST
AlCrCuFeNi,,,,,,POWDER
Al$_{0.62}$CoCrFeMnNi,25.0,$^\circ$C,T,833.0,MPa,CAST
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
MoNbTaVW,600.0,$^\circ$C,C,862.0,MPa,CAST
MoNbTaTiV,25.0,$^\circ$C,C,1400.0,MPa,CAST
CrNb$_{0.333}$Ti$_{0.333}$Zr$_{0.333}$,1000.0,$^\circ$C,C,139.0,MPa,OTHER
Co$_{0.5}$Fe$_{0.5}$Mo$_{0.1}$NiV$_{0.25}$,-70.0,$^\circ$C,T,350.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,23.0,$^\circ$C,T,520.0,MPa,ANNEAL
