formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Al$_{0.9}$CoCrFeNi,,,,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,1120.0,MPa,WROUGHT
Al$_{0.333}$Co$_{0.333}$Cu$_{0.333}$Fe$_{0.333}$Ni,25.0,$^\circ$C,C,268.0,MPa,CAST
MoNb$_{0.667}$Ti$_{0.667}$V$_{0.667}$Zr$_{0.667}$,25.0,$^\circ$C,C,1603.0,MPa,ANNEAL
AlC$_{0.3}$CoCrFeNi,25.0,$^\circ$C,C,867.0,MPa,CAST
Co$_{0.625}$Fe$_{0.625}$Mo$_{0.625}$NiV$_{0.625}$,25.0,$^\circ$C,,,,CAST
CoCrFeMnNiV$_{0.75}$,25.0,$^\circ$C,C,,,CAST
CoFeNi,25.0,$^\circ$C,T,,,WROUGHT
Al$_{0.108}$Co$_{0.514}$Cr$_{0.514}$Cu$_{0.108}$Fe$_{0.514}$Ni,25.0,$^\circ$C,T,719.0,MPa,WROUGHT
Al$_{0.333}$Nb$_{0.667}$Ta$_{0.533}$TiV$_{0.133}$Zr$_{0.667}$,1000.0,$^\circ$C,C,220.0,MPa,OTHER
MoNbSi$_{0.5}$TaW,400.0,$^\circ$C,,,,POWDER
HfMoNbTaTiZr,800.0,$^\circ$C,C,1007.0,MPa,CAST
